Journal	IF_2022	IF_2023	Change	
2D Materials	6.861	5.5	-1.361	
3 Biotech	2.893	2.8	-0.093	
3D Printing and Additive Manufacturing	5.355	3.1	-2.255	
3D Printing in Medicine		3.7	3.7	
4OR-A Quarterly Journal of Operations Research	1.763	2	0.237	
AACN Advanced Critical Care		2.2	2.2	
AAPG BULLETIN	3.863	3.5	-0.363	
AAPS Journal	3.603	--		
AAPS PHARMSCITECH	4.026	3.3	-0.726	
Abacus-A Journal of Accounting Finance and Business Studies	2.06	2.1	0.04	
ABCD-Arquivos Brasileiros de Cirurgia Digestiva-Brazilian Archives of Digestive Surgery		1.5	1.5	
Abdominal Radiology	2.886	2.4	-0.486	
aBIOTECH	--	3.6		
Academia-Revista Latinoamericana de Administracion	1.369	1.2	-0.169	
ACADEMIC EMERGENCY MEDICINE	5.221	4.4	-0.821	
ACADEMIC MEDICINE	7.84	--		
Academic Pathology		1	1	
Academic Pediatrics	2.993	3.1	0.107	
ACADEMIC PSYCHIATRY	2.385	2.5	0.115	
ACADEMIC RADIOLOGY	5.482	4.8	-0.682	
Academy of Management Annals	19.241	21.2	1.959	
Academy of Management Discoveries	6.527	6.3	-0.227	
ACADEMY OF MANAGEMENT JOURNAL	10.979	10.5	-0.479	
Academy of Management Learning & Education	6.149	4.8	-1.349	
Academy of Management Perspectives	8.069	8.9	0.831	
ACADEMY OF MANAGEMENT REVIEW	13.865	16.4	2.535	
ACAROLOGIA	1.475	1.1	-0.375	
ACCIDENT ANALYSIS AND PREVENTION	6.376	5.9	-0.476	
Accountability in Research-Ethics Integrity and Policy	--	3.4		
Accountability in Research-Policies and Quality Assurance	3.057	--		
ACCOUNTING AND BUSINESS RESEARCH	2.326	1.7	-0.626	
Accounting and Finance	2.473	2.6	0.127	
Accounting Auditing & Accountability Journal	4.893	4.2	-0.693	
Accounting Economics and Law-A Convivium		1.4	1.4	
Accounting Education		3.2	3.2	
Accounting Forum	4	3.1	-0.9	
Accounting History		1	1	
Accounting Horizons	2.157	2.5	0.343	
Accounting in Europe		2.8	2.8	
ACCOUNTING ORGANIZATIONS AND SOCIETY	4.114	4.7	0.586	
Accounting Perspectives		1.7	1.7	
ACCOUNTING REVIEW	5.182	4.1	-1.082	
ACCOUNTS OF CHEMICAL RESEARCH	24.466	18.3	-6.166	
Accounts of Materials Research		14.6	14.6	
ACI MATERIALS JOURNAL	1.661	1.7	0.039	
ACI STRUCTURAL JOURNAL	1.799	1.8	0.001	
ACM COMPUTING SURVEYS	14.324	16.6	2.276	
ACM Journal of Data and Information Quality		2.1	2.1	
ACM Journal on Computing and Cultural Heritage	2.047	2.4	0.353	
ACM Journal on Emerging Technologies in Computing Systems	2.013	2.2	0.187	
ACM SIGCOMM Computer Communication Review	1.937	2.8	0.863	
ACM SIGecom Exchanges		1	1	
ACM Transactions on Accessible Computing		2.4	2.4	
ACM Transactions on Algorithms	1.113	1.3	0.187	
ACM Transactions on Applied Perception	1.676	1.6	-0.076	
ACM Transactions on Architecture and Code Optimization	1.444	1.6	0.156	
ACM Transactions on Asian and Low-Resource Language Information Processing	1.471	2	0.529	
ACM Transactions on Autonomous and Adaptive Systems	--	2.7		
ACM TRANSACTIONS ON COMPUTER SYSTEMS	1.692	1.5	-0.192	
ACM Transactions on Computer-Human Interaction	4.106	3.7	-0.406	
ACM Transactions on Computing Education	2.493	2.4	-0.093	
ACM Transactions on Cyber-Physical Systems		2.3	2.3	
ACM TRANSACTIONS ON DATABASE SYSTEMS	1.629	1.8	0.171	
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS	1.447	1.4	-0.047	
ACM Transactions on Economics and Computation		1.2	1.2	
ACM Transactions on Embedded Computing Systems	1.886	2	0.114	
ACM TRANSACTIONS ON GRAPHICS	7.403	6.2	-1.203	
ACM Transactions on Human-Robot Interaction		5.1	5.1	
ACM TRANSACTIONS ON INFORMATION SYSTEMS	4.657	5.6	0.943	
ACM Transactions on Intelligent Systems and Technology	10.489	5	-5.489	
ACM Transactions on Interactive Intelligent Systems	1.887	3.4	1.513	
ACM Transactions on Internet of Things	--	2.7		
ACM Transactions on Internet Technology	3.989	5.3	1.311	
ACM Transactions on Knowledge Discovery from Data	4.157	3.6	-0.557	
ACM Transactions on Management Information Systems		2.5	2.5	
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE	2.464	2.7	0.236	
ACM Transactions on Multimedia Computing Communications and Applications	4.094	5.1	1.006	
ACM Transactions on Parallel Computing		1.6	1.6	
ACM Transactions on Privacy and Security	2.717	2.3	-0.417	
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS	1.714	1.3	-0.414	
ACM Transactions on Reconfigurable Technology and Systems	2.837	2.3	-0.537	
ACM Transactions on Sensor Networks	2.56	4.1	1.54	
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY	3.685	4.4	0.715	
ACM Transactions on Storage	1.229	1.7	0.471	
ACM Transactions on the Web	3.35	3.5	0.15	
ACOUSTICAL PHYSICS	1.116	0.8	-0.316	
Acoustics		2.1	2.1	
Acoustics Australia	1.891	1.7	-0.191	
ACR Open Rheumatology	--	3.4		
Across Languages and Cultures	1.292	0.7	-0.592	
ACS Agricultural Science & Technology	--	2.5		
ACS Applied Bio Materials		4.7	4.7	
ACS Applied Electronic Materials	4.494	4.7	0.206	
ACS Applied Energy Materials	6.959	6.4	-0.559	
ACS Applied Materials & Interfaces	10.383	9.5	-0.883	
ACS Applied Nano Materials	6.14	5.9	-0.24	
ACS Applied Polymer Materials	4.855	5	0.145	
ACS Biomaterials Science & Engineering	5.395	5.8	0.405	
ACS Catalysis	13.7	12.9	-0.8	
ACS Central Science	18.728	18.2	-0.528	
ACS Chemical Biology	4.634	4	-0.634	
ACS Chemical Health & Safety		3	3	
ACS Chemical Neuroscience	5.78	5	-0.78	
ACS Combinatorial Science	3.903	--		
ACS Earth and Space Chemistry	3.556	3.4	-0.156	
ACS Energy Letters	23.991	22	-1.991	
ACS ES&T Water	--	5.3		
ACS Food Science & Technology	--	2.3		
ACS Infectious Diseases	5.578	5.3	-0.278	
ACS Macro Letters	7.015	5.8	-1.215	
ACS Materials Letters	11.17	11.4	0.23	
ACS Medicinal Chemistry Letters	4.632	4.2	-0.432	
ACS Nano	18.027	17.1	-0.927	
ACS Omega	4.132	4.1	-0.032	
ACS Pharmacology & Translational Science		6	6	
ACS Photonics	7.077	--		
ACS Polymers Au	--	3.9		
ACS Sensors	9.618	8.9	-0.718	
ACS Sustainable Chemistry & Engineering	9.224	8.4	-0.824	
ACS Synthetic Biology	5.249	4.7	-0.549	
ACSMS HEALTH & FITNESS JOURNAL	1.13	1.5	0.37	
ACTA ACUSTICA	1.355	1.4	0.045	
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE	1.931	1.6	-0.331	
ACTA AGROBOTANICA		1.2	1.2	
ACTA ALIMENTARIA	1	1.1	0.1	
ACTA AMAZONICA	1.091	0.8	-0.291	
ACTA ANAESTHESIOLOGICA SCANDINAVICA	2.274	2.1	-0.174	
ACTA APPLICANDAE MATHEMATICAE	1.563	1.6	0.037	
ACTA ASTRONAUTICA	2.954	3.5	0.546	
ACTA ASTRONOMICA	1.974	2.2	0.226	
ACTA BIOCHIMICA ET BIOPHYSICA SINICA	3.511	3.7	0.189	
ACTA BIOCHIMICA POLONICA	2.349	1.7	-0.649	
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA	1.103	1.3	0.197	
Acta Biomaterialia	10.633	9.7	-0.933	
ACTA BIOTHEORETICA	1.185	1.3	0.115	
Acta Borealia		1	1	
Acta Botanica Brasilica	1.395	1.1	-0.295	
ACTA BOTANICA CROATICA	1.02	1.3	0.28	
Acta Botanica Mexicana	1	0.8	-0.2	
ACTA CARDIOLOGICA	1.738	1.6	-0.138	
Acta Cardiologica Sinica	1.8	--		
ACTA CHIMICA SINICA	2.789	2.5	-0.289	
ACTA CHIMICA SLOVENICA	1.524	1.2	-0.324	
ACTA CHIROPTEROLOGICA	1.145	1	-0.145	
ACTA CHROMATOGRAPHICA	2.011	--		
Acta Cirurgica Brasileira	1.564	1.1	-0.464	
ACTA CLINICA BELGICA	1.682	1.6	-0.082	
Acta Crystallographica A-Foundation and Advances	2.331	1.8	-0.531	
Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials	2.684	--		
Acta Crystallographica Section C-Structural Chemistry	1.184	--		
Acta Crystallographica Section D-Structural Biology	5.699	2.2	-3.499	
Acta Crystallographica Section F-Structural Biology Communications	1.072	0.9	-0.172	
ACTA CYTOLOGICA	3	1.8	-1.2	
ACTA DERMATO-VENEREOLOGICA	3.875	3.6	-0.275	
Acta Dermatovenerologica Alpina Pannonica et Adriatica		1.2	1.2	
Acta Dermatovenerologica Croatica	1.444	0.6	-0.844	
ACTA DIABETOLOGICA	4.087	3.8	-0.287	
Acta Endocrinologica-Bucharest	1.104	1	-0.104	
ACTA ETHOLOGICA	1.298	1.1	-0.198	
Acta Facultatis Xylologiae Zvolen		1	1	
ACTA GASTRO-ENTEROLOGICA BELGICA	1.692	1.5	-0.192	
Acta Geochimica		1.6	1.6	
Acta Geodaetica et Geophysica	1.768	1.4	-0.368	
Acta Geodynamica et Geomaterialia	1	0.9	-0.1	
Acta Geographica Slovenica-Geografski Zbornik	1.277	1.7	0.423	
ACTA GEOLOGICA POLONICA	1.289	1.1	-0.189	
ACTA GEOLOGICA SINICA-ENGLISH EDITION	3.282	3.3	0.018	
Acta Geophysica	2.293	2.3	0.007	
Acta Geotechnica	5.57	5.7	0.13	
Acta Gymnica		1.1	1.1	
ACTA HAEMATOLOGICA	3.068	2.4	-0.668	
Acta Herpetologica	1.075	0.8	-0.275	
ACTA HISTOCHEMICA	2.147	2.5	0.353	
ACTA HISTOCHEMICA ET CYTOCHEMICA	1.857	2.4	0.543	
ACTA MATERIALIA	9.209	9.4	0.191	
ACTA MATHEMATICA	3.75	3.7	-0.05	
ACTA MATHEMATICA SCIENTIA	1.085	1	-0.085	
ACTA MECHANICA	2.645	2.7	0.055	
ACTA MECHANICA SINICA	2.91	3.5	0.59	
ACTA MECHANICA SOLIDA SINICA	2.187	2.2	0.013	
Acta Medica Indonesiana		1.4	1.4	
Acta Medica Portuguesa	1.698	1.2	-0.498	
ACTA METALLURGICA SINICA	1.797	2.3	0.503	
Acta Metallurgica Sinica-English Letters	3.024	3.5	0.476	
Acta Metallurgica Slovaca		1	1	
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA	2.298	1.5	-0.798	
Acta Montanistica Slovaca	1.833	1.6	-0.233	
Acta Naturae	2.204	2	-0.204	
ACTA NEUROBIOLOGIAE EXPERIMENTALIS	1.269	1.4	0.131	
ACTA NEUROCHIRURGICA	2.816	2.4	-0.416	
ACTA NEUROLOGICA BELGICA	2.471	2.7	0.229	
ACTA NEUROLOGICA SCANDINAVICA	3.915	3.5	-0.415	
ACTA NEUROPATHOLOGICA	15.887	12.7	-3.187	
Acta Neuropathologica Communications	7.578	--		
ACTA NEUROPSYCHIATRICA	4.513	3.8	-0.713	
ACTA NUMERICA	15.583	14.2	-1.383	
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA	4.544	4.3	-0.244	
ACTA OCEANOLOGICA SINICA	1.369	1.4	0.031	
ACTA ODONTOLOGICA SCANDINAVICA	2.232	2	-0.232	
