地区(%),Region,0-14,15-59,60+,65+
全国,Total,17.95,63.35,18.7,13.5
北京,Beijing,11.84,68.53,19.63,13.3
天津,Tianjin,13.47,64.87,21.66,14.75
河北,Hebei,20.22,59.92,19.85,13.92
山西,Shanxi,16.35,64.72,18.92,12.9
内蒙古,InnerMongolia,14.04,66.17,19.78,13.05
辽宁,Liaoning,11.12,63.16,25.72,17.42
吉林,Jilin,11.71,65.23,23.06,15.61
黑龙江,Heilongjiang,10.32,66.46,23.22,15.61
上海,Shanghai,9.8,66.82,23.38,16.28
江苏,Jiangsu,15.21,62.95,21.84,16.2
浙江,Zhejiang,13.45,67.86,18.7,13.27
安徽,Anhui,19.24,61.96,18.79,15.01
福建,Fujian,19.32,64.7,15.98,11.1
江西,Jiangxi,21.96,61.17,16.87,11.89
山东,Shandong,18.78,60.32,20.9,15.13
河南,Henan,23.14,58.79,18.08,13.49
湖北,Hubei,16.31,63.26,20.42,14.59
湖南,Hunan,19.52,60.6,19.88,14.81
广东,Guangdong,18.85,68.8,12.35,8.58
广西,Guangxi,23.63,59.69,16.69,12.2
海南,Hainan,19.97,65.38,14.65,10.43
重庆,Chongqing,15.91,62.22,21.87,17.08
四川,Sichuan,16.1,62.19,21.71,16.93
贵州,Guizhou,23.97,60.65,15.38,11.56
云南,Yunnan,19.57,65.52,14.91,10.75
西藏,Tibet,24.53,66.95,8.52,5.67
陕西,Shaanxi,17.33,63.46,19.2,13.32
甘肃,Gansu,19.4,63.57,17.03,12.58
青海,Qinghai,20.81,67.04,12.14,8.68
宁夏,Ningxia,20.38,66.09,13.52,9.62
新疆,Xinjiang,22.46,66.26,11.28,7.76
