地区,year2020,year2010,Region
全国,9.91,9.08,Total
北京,12.64,11.71,Beijing
天津,11.29,10.38,Tianjin
河北,9.84,9.12,Hebei
山西,10.45,9.52,Shanxi
内蒙古,10.08,9.22,InnerMongolia
辽宁,10.34,9.67,Liaoning
吉林,10.17,9.49,Jilin
黑龙江,9.93,9.36,Heilongjiang
上海,11.81,10.73,Shanghai
江苏,10.21,9.32,Jiangsu
浙江,9.79,8.79,Zhejiang
安徽,9.35,8.28,Anhui
福建,9.66,9.02,Fujian
江西,9.7,8.86,Jiangxi
山东,9.75,8.97,Shandong
河南,9.79,8.95,Henan
湖北,10.02,9.2,Hubei
湖南,9.88,9.16,Hunan
广东,10.38,9.55,Guangdong
广西,9.54,8.76,Guangxi
海南,10.1,9.22,Hainan
重庆,9.8,8.75,Chongqing
四川,9.24,8.35,Sichuan
贵州,8.75,7.65,Guizhou
云南,8.82,7.76,Yunnan
西藏,6.75,5.25,Tibet
陕西,10.26,9.36,Shaanxi
甘肃,9.13,8.19,Gansu
青海,8.85,7.85,Qinghai
宁夏,9.81,8.82,Ningxia
新疆,10.11,9.27,Xinjiang
