区域,Region,male,female,rate
全国,Total,51.24,48.76,105.07
北京,Beijing,51.14,48.86,104.65
天津,Tianjin,51.53,48.47,106.31
河北,Hebei,50.5,49.5,102.02
山西,Shanxi,50.99,49.01,104.06
内蒙古,InnerMongolia,51.04,48.96,104.26
辽宁,Liaoning,49.92,50.08,99.7
吉林,Jilin,49.92,50.08,99.69
黑龙江,Heilongjiang,50.09,49.91,100.35
上海,Shanghai,51.77,48.23,107.33
江苏,Jiangsu,50.78,49.22,103.15
浙江,Zhejiang,52.16,47.84,109.04
安徽,Anhui,50.97,49.03,103.94
福建,Fujian,51.68,48.32,106.94
江西,Jiangxi,51.6,48.4,106.62
山东,Shandong,50.66,49.34,102.67
河南,Henan,50.15,49.85,100.6
湖北,Hubei,51.42,48.58,105.83
湖南,Hunan,51.16,48.84,104.77
广东,Guangdong,53.07,46.93,113.08
广西,Guangxi,51.7,48.3,107.04
海南,Hainan,53.02,46.98,112.86
重庆,Chongqing,50.55,49.45,102.21
四川,Sichuan,50.54,49.46,102.19
贵州,Guizhou,51.1,48.9,104.5
云南,Yunnan,51.73,48.27,107.16
西藏,Tibet,52.45,47.55,110.32
陕西,Shaanxi,51.17,48.83,104.79
甘肃,Gansu,50.76,49.24,103.1
青海,Qinghai,51.21,48.79,104.97
宁夏,Ningxia,50.94,49.06,103.83
新疆,Xinjiang,51.66,48.34,106.85
