地区,Region,number,year2020,year2010
全国,Total,1411778724,100,100
北京,Beijing,21893095,1.55,1.46
天津,Tianjin,13866009,0.98,0.97
河北,Hebei,74610235,5.28,5.36
山西,Shanxi,34915616,2.47,2.67
内蒙古,InnerMongolia,24049155,1.7,1.84
辽宁,Liaoning,42591407,3.02,3.27
吉林,Jilin,24073453,1.71,2.05
黑龙江,Heilongjiang,31850088,2.26,2.86
上海,Shanghai,24870895,1.76,1.72
江苏,Jiangsu,84748016,6,5.87
浙江,Zhejiang,64567588,4.57,4.06
安徽,Anhui,61027171,4.32,4.44
福建,Fujian,41540086,2.94,2.75
江西,Jiangxi,45188635,3.2,3.33
山东,Shandong,101527453,7.19,7.15
河南,Henan,99365519,7.04,7.02
湖北,Hubei,57752557,4.09,4.27
湖南,Hunan,66444864,4.71,4.9
广东,Guangdong,126012510,8.93,7.79
广西,Guangxi,50126804,3.55,3.44
海南,Hainan,10081232,0.71,0.65
重庆,Chongqing,32054159,2.27,2.15
四川,Sichuan,83674866,5.93,6
贵州,Guizhou,38562148,2.73,2.59
云南,Yunnan,47209277,3.34,3.43
西藏,Tibet,3648100,0.26,0.22
陕西,Shaanxi,39528999,2.8,2.79
甘肃,Gansu,25019831,1.77,1.91
青海,Qinghai,5923957,0.42,0.42
宁夏,Ningxia,7202654,0.51,0.47
新疆,Xinjiang,25852345,1.83,1.63
